質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.4%,6.7%,9.2%,5.7%,4.0%,4.9%,9.9%,4.7%,7.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,9 ,7 ,16 ,27 ,28 ,55 ,14 ,4 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.7%,23.3%,24.6%,31.0%,37.3%,34.0%,19.7%,6.3%,13.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",5 ,2 ,7 ,11 ,9 ,20 ,9 ,8 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.3%,6.7%,10.8%,12.6%,12.0%,12.3%,12.7%,12.5%,12.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",15 ,12 ,27 ,32 ,21 ,53 ,18 ,9 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42.9%,40.0%,41.5%,36.8%,28.0%,32.7%,25.4%,14.1%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,0.0%,0.0%,0.0%,1.3%,0.6%,1.4%,0.0%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,8 ,7 ,15 ,35 ,31 ,66 ,24 ,11 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.9%,23.3%,23.1%,40.2%,41.3%,40.7%,33.8%,17.2%,25.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,7 ,3 ,10 ,9 ,10 ,19 ,17 ,21 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.0%,10.0%,15.4%,10.3%,13.3%,11.7%,23.9%,32.8%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,1 ,1 ,2 ,4 ,3 ,7 ,0 ,3 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9%,3.3%,3.1%,4.6%,4.0%,4.3%,0.0%,4.7%,2.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,1 ,4 ,5 ,5 ,3 ,8 ,6 ,5 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9%,13.3%,7.7%,5.7%,4.0%,4.9%,8.5%,7.8%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,居住形態別,,,,,暮らし向き別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,持ち家(一戸建て),持ち家(ﾏﾝｼｮﾝ),借家(一戸建て),借家(ｱﾊﾟｰﾄ･ﾏﾝｼｮﾝ),その他,余裕がある,やや余裕がある,変わらない,やや苦しい,苦しい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,731 ,36 ,30 ,84 ,24 ,10 ,82 ,414 ,275 ,123 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,264 ,11 ,9 ,40 ,7 ,5 ,29 ,147 ,112 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36.1%,30.6%,30.0%,47.6%,29.2%,50.0%,35.4%,35.5%,40.7%,30.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,97 ,4 ,2 ,7 ,2 ,0 ,15 ,52 ,29 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.3%,11.1%,6.7%,8.3%,8.3%,0.0%,18.3%,12.6%,10.5%,13.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",59 ,6 ,4 ,11 ,2 ,0 ,8 ,41 ,20 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.1%,16.7%,13.3%,13.1%,8.3%,0.0%,9.8%,9.9%,7.3%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",156 ,8 ,6 ,20 ,8 ,3 ,19 ,81 ,62 ,33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.3%,22.2%,20.0%,23.8%,33.3%,30.0%,23.2%,19.6%,22.5%,26.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",44 ,3 ,3 ,4 ,1 ,0 ,4 ,18 ,18 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0%,8.3%,10.0%,4.8%,4.2%,0.0%,4.9%,4.3%,6.5%,12.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,221 ,6 ,8 ,20 ,8 ,5 ,26 ,117 ,88 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.2%,16.7%,26.7%,23.8%,33.3%,50.0%,31.7%,28.3%,32.0%,22.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",73 ,8 ,2 ,7 ,0 ,1 ,4 ,37 ,27 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.0%,22.2%,6.7%,8.3%,0.0%,10.0%,4.9%,8.9%,9.8%,17.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",252 ,3 ,10 ,17 ,8 ,5 ,25 ,130 ,95 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34.5%,8.3%,33.3%,20.2%,33.3%,50.0%,30.5%,31.4%,34.5%,28.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",6 ,1 ,1 ,4 ,0 ,0 ,3 ,1 ,6 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,2.8%,3.3%,4.8%,0.0%,0.0%,3.7%,0.2%,2.2%,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,259 ,16 ,7 ,27 ,11 ,5 ,28 ,143 ,103 ,42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.4%,44.4%,23.3%,32.1%,45.8%,50.0%,34.1%,34.5%,37.5%,34.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,115 ,4 ,4 ,15 ,2 ,1 ,14 ,69 ,34 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7%,11.1%,13.3%,17.9%,8.3%,10.0%,17.1%,16.7%,12.4%,17.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,13 ,1 ,0 ,1 ,0 ,0 ,1 ,5 ,4 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8%,2.8%,0.0%,1.2%,0.0%,0.0%,1.2%,1.2%,1.5%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,28 ,6 ,2 ,4 ,3 ,0 ,3 ,20 ,14 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.8%,16.7%,6.7%,4.8%,12.5%,0.0%,3.7%,4.8%,5.1%,4.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,町内会の加入状況別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,加入している,加入していない,わからない,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,801 ,45 ,54 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,296 ,20 ,15 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.0%,44.4%,27.8%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,107 ,1 ,8 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.4%,2.2%,14.8%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",73 ,4 ,3 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.1%,8.9%,5.6%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",176 ,9 ,11 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.0%,20.0%,20.4%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",50 ,2 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2%,4.4%,3.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,240 ,10 ,13 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.0%,22.2%,24.1%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",75 ,8 ,5 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.4%,17.8%,9.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",278 ,9 ,7 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34.7%,20.0%,13.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",7 ,3 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9%,6.7%,3.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,285 ,16 ,16 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.6%,35.6%,29.6%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,114 ,10 ,18 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.2%,22.2%,33.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,12 ,0 ,3 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.5%,0.0%,5.6%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,33 ,0 ,2 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1%,0.0%,3.7%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,福祉との関わり別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,関わりはない,仕事・ボランティア,福祉サービスを必要としている人,,,,,,身近にいる,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,高齢,障がい,子育て,病弱,ひとり親家庭,"生活
困窮",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,484 ,89 ,77 ,45 ,44 ,25 ,20 ,21 ,192 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,181 ,35 ,25 ,13 ,13 ,11 ,9 ,3 ,82 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.4%,39.3%,32.5%,28.9%,29.5%,44.0%,45.0%,14.3%,42.7%,24.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,60 ,20 ,10 ,4 ,6 ,2 ,1 ,5 ,21 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.4%,22.5%,13.0%,8.9%,13.6%,8.0%,5.0%,23.8%,10.9%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",38 ,11 ,10 ,10 ,3 ,5 ,1 ,6 ,20 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.9%,12.4%,13.0%,22.2%,6.8%,20.0%,5.0%,28.6%,10.4%,18.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",107 ,19 ,15 ,9 ,12 ,3 ,3 ,6 ,44 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.1%,21.3%,19.5%,20.0%,27.3%,12.0%,15.0%,28.6%,22.9%,16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",30 ,8 ,6 ,3 ,1 ,3 ,1 ,3 ,10 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2%,9.0%,7.8%,6.7%,2.3%,12.0%,5.0%,14.3%,5.2%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,135 ,27 ,22 ,8 ,15 ,5 ,2 ,4 ,71 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.9%,30.3%,28.6%,17.8%,34.1%,20.0%,10.0%,19.0%,37.0%,18.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",45 ,8 ,8 ,4 ,2 ,4 ,3 ,1 ,24 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.3%,9.0%,10.4%,8.9%,4.5%,16.0%,15.0%,4.8%,12.5%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",146 ,28 ,27 ,10 ,17 ,6 ,8 ,2 ,76 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.2%,31.5%,35.1%,22.2%,38.6%,24.0%,40.0%,9.5%,39.6%,29.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",4 ,1 ,1 ,1 ,5 ,1 ,1 ,0 ,3 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,1.1%,1.3%,2.2%,11.4%,4.0%,5.0%,0.0%,1.6%,2.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,172 ,36 ,23 ,14 ,19 ,6 ,8 ,7 ,68 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.5%,40.4%,29.9%,31.1%,43.2%,24.0%,40.0%,33.3%,35.4%,27.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,92 ,11 ,10 ,7 ,3 ,2 ,1 ,3 ,17 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0%,12.4%,13.0%,15.6%,6.8%,8.0%,5.0%,14.3%,8.9%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,4 ,1 ,5 ,1 ,0 ,0 ,0 ,1 ,3 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,1.1%,6.5%,2.2%,0.0%,0.0%,0.0%,4.8%,1.6%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,14 ,3 ,6 ,6 ,2 ,3 ,2 ,0 ,6 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9%,3.4%,7.8%,13.3%,4.5%,12.0%,10.0%,0.0%,3.1%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問７．もし、あなたの近所に日常生活が不自由で困っている人がいたら、あなたができる手助けはどのようなことですか。次の中から３つまで選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問７,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,547 ,3 ,26 ,38 ,79 ,86 ,137 ,122 ,46 ,143 ,103 ,246 ,292 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59.5%,20.0%,53.1%,48.1%,60.3%,64.2%,66.8%,66.7%,42.6%,65.9%,52.8%,59.7%,59.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,254 ,4 ,16 ,24 ,26 ,27 ,46 ,66 ,38 ,64 ,70 ,134 ,113 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.6%,26.7%,32.7%,30.4%,19.8%,20.1%,22.4%,36.1%,35.2%,29.5%,35.9%,32.5%,22.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",99 ,4 ,4 ,6 ,14 ,13 ,8 ,31 ,16 ,23 ,29 ,52 ,44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.8%,26.7%,8.2%,7.6%,10.7%,9.7%,3.9%,16.9%,14.8%,10.6%,14.9%,12.6%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",175 ,5 ,7 ,10 ,24 ,27 ,55 ,33 ,12 ,54 ,25 ,79 ,94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.0%,33.3%,14.3%,12.7%,18.3%,20.1%,26.8%,18.0%,11.1%,24.9%,12.8%,19.2%,19.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",16 ,0 ,0 ,1 ,2 ,3 ,4 ,5 ,1 ,4 ,3 ,7 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,0.0%,0.0%,1.3%,1.5%,2.2%,2.0%,2.7%,0.9%,1.8%,1.5%,1.7%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,248 ,6 ,19 ,24 ,43 ,43 ,68 ,29 ,15 ,48 ,31 ,79 ,168 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.0%,40.0%,38.8%,30.4%,32.8%,32.1%,33.2%,15.8%,13.9%,22.1%,15.9%,19.2%,34.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",38 ,0 ,4 ,2 ,4 ,4 ,8 ,12 ,3 ,14 ,5 ,19 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1%,0.0%,8.2%,2.5%,3.1%,3.0%,3.9%,6.6%,2.8%,6.5%,2.6%,4.6%,3.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",288 ,3 ,16 ,22 ,45 ,50 ,82 ,53 ,13 ,84 ,37 ,121 ,163 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
