営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
株式会社　肉の若葉,秋田市新屋鳥木町４－４６,018-828-6221,株式会社　肉の若葉,新規,674,食肉販売業,一般,6/22/18,6/22/18,6/30/24
サーティワンアイスクリーム　イオンモール秋田店,秋田市御所野地蔵田一丁目１－１,018-829-4431,株式会社　人吉,新規,702,飲食店営業,一般,6/25/18,6/25/18,6/30/23
Ｋｙｏ　きょうも楽しく,秋田市飯島道東二丁目１５－３７,018-847-0177,竹田青子,新規,689,飲食店営業,一般,6/25/18,6/25/18,5/31/24
ローソン　秋田ベイパラダイス,秋田市土崎港西一丁目１０－４５,018-857-5005,株式会社　アイマール,新規,704,飲食店営業,その他,6/25/18,6/25/18,5/31/25
泉寿,秋田市泉北二丁目１－２,018-862-6824,佐藤義男,新規,697,菓子製造業,一般,6/25/18,6/25/18,8/31/23
銀のさら　秋田卸町店,秋田市卸町四丁目６－３,018-863-3322,株式会社　ライドオンエクスプレス,継続,681,飲食店営業,一般,6/25/18,7/1/18,6/30/24
ローソン秋田旭北錦町店,秋田市旭北錦町４－７０,018-866-1222,有限会社　コンエンタープライズ,新規,693,飲食店営業,仕出し・弁当,6/25/18,6/25/18,8/31/24
秋田まるごと市場レストラン,秋田市卸町二丁目２－７,018-866-8001,株式会社　秋田まるごと市場,継続,680,飲食店営業,仕出し・弁当,6/25/18,7/1/18,6/30/23
快活ＣＬＵＢ　秋田牛島店,秋田市牛島西一丁目１－１８,018-884-0688,株式会社　快活フロンティア,継続,682,飲食店営業,一般,6/25/18,7/1/18,6/30/24
なか卯　ラウンドワン秋田卸町店,秋田市卸町一丁目１－２,018-888-0515,株式会社　なか卯,継続,679,飲食店営業,一般,6/25/18,7/1/18,6/30/24
ラウンドワン　秋田店,秋田市卸町一丁目１－２,018-896-6711,株式会社ラウンドワン,継続,683,飲食店営業,一般,6/25/18,7/1/18,6/30/24
スナック　花あかり,秋田市土崎港中央一丁目１１－２０,,松橋セツ子,新規,703,飲食店営業,一般,6/25/18,6/25/18,5/31/24
株式会社アキレイ秋田営業所,秋田市外旭川字四百刈２７,,株式会社　アキレイ,新規,698,食品の冷凍又は冷蔵業,一般,6/25/18,6/25/18,7/31/24
株式会社　マルダイ牛島店,秋田市牛島東五丁目３－２６,018-831-1166,株式会社　マルダイ,継続,708,食肉販売業,一般,6/26/18,7/1/18,6/30/24
介護老人保健施設　ふれ愛の里,秋田市豊岩小山字中山２１６－２７,018-888-8201,日清医療食品株式会社,継続,709,飲食店営業,一般,6/26/18,7/1/18,6/30/24
そよかぜ,秋田市下浜桂根字境川,,佐々木芳子,継続,710,飲食店営業,一般,6/26/18,7/1/18,6/30/23
海の家　ＯＡＳｉＳ,秋田市浜田字境川８,,阿部望,新規,712,飲食店営業,一般,6/26/18,6/26/18,6/30/23
炙り牛たん　万,秋田市御所野地蔵田一丁目１－１,018-827-3616,株式会社　ピァーサーティー東北,継続,735,飲食店営業,一般,6/27/18,7/1/18,6/30/24
高長寿司,秋田市新屋表町５－６,018-828-2522,高島信雄,継続,717,飲食店営業,一般,6/27/18,7/1/18,6/30/23
ナイス仁井田店,秋田市仁井田緑町２－８,018-835-3111,株式会社　ナイス,継続,725,飲食店営業,仕出し・弁当,6/27/18,7/1/18,6/30/24
株式会社ナイス　ナイス仁井田店,秋田市仁井田緑町２－８,018-835-3111,株式会社　ナイス,新規,728,魚介類販売業,一般,6/27/18,6/27/18,6/30/24
株式会社ナイス　ナイス仁井田店,秋田市仁井田緑町２－８,018-835-3111,株式会社　ナイス,新規,726,飲食店営業,その他,6/27/18,6/27/18,6/30/24
株式会社ナイス　ナイス仁井田店,秋田市仁井田緑町２－８,018-835-3111,株式会社　ナイス,新規,727,食肉販売業,一般,6/27/18,6/27/18,6/30/24
堀井商店,秋田市仁井田本町三丁目２４－９,018-839-2707,堀井健悦,継続,729,魚介類販売業,一般,6/27/18,7/1/18,6/30/23
パン工房　Ｋｎｅｔｅｎ,秋田市御所野堤台二丁目６－２２５,018-853-8953,清水雅弘,継続,746,菓子製造業,一般,6/27/18,7/1/18,6/30/24
パン工房　Ｋｎｅｔｅｎ,秋田市御所野堤台二丁目６－２２５,018-853-8953,清水雅弘,継続,747,飲食店営業,その他,6/27/18,7/1/18,6/30/24
秋田県立スケート場・休憩喫茶ホール,秋田市新屋町字砂奴寄２－２,018-863-1241,一般財団法人秋田県総合公社,継続,721,飲食店営業,その他,6/27/18,7/1/18,6/30/24
お菓子の郷　ジロー,秋田市御所野下堤二丁目１－８,018-889-6260,株式会社　ジロー洋菓子店,継続,745,菓子製造業,一般,6/27/18,7/1/18,6/30/24
イオンスタイル御所野（１階）,秋田市御所野地蔵田一丁目１－１,018-889-6611,イオン東北株式会社,継続,738,飲食店営業,その他,6/27/18,7/1/18,6/30/24
お茶の井ヶ田　喜久水庵,秋田市御所野地蔵田一丁目１－１,018-889-6959,お茶の井ヶ田株式会社,継続,744,菓子製造業,一般,6/27/18,7/1/18,6/30/24
ジェイマルエー御所野店,秋田市御所野元町一丁目１－１９,018-892-7001,株式会社　マルエーうちや,継続,742,魚介類販売業,一般,6/27/18,7/1/18,6/30/24
ジェイマルエー御所野店,秋田市御所野元町一丁目１－１９,018-892-7001,株式会社　マルエーうちや,継続,741,食肉販売業,一般,6/27/18,7/1/18,6/30/24
ジェイマルエー御所野店,秋田市御所野元町一丁目１－１９,018-892-7001,株式会社　マルエーうちや,継続,740,飲食店営業,仕出し・弁当,6/27/18,7/1/18,6/30/24
びっくりドンキー　秋田御所野店,秋田市御所野元町一丁目１－１２,018-892-7723,株式会社　アレフ,継続,734,飲食店営業,一般,6/27/18,7/1/18,6/30/24
三宝亭　御所野店,秋田市御所野元町一丁目１－１３,018-892-7871,株式会社　三宝,継続,736,飲食店営業,一般,6/27/18,7/1/18,6/30/23
佐々重商店,秋田市向浜一丁目１－３,,佐々木重平,新規,716,飲食店営業,一般,6/27/18,6/27/18,6/30/23
梅丸,秋田市仁井田本町五丁目１－１６,,長谷部洋子,継続,724,飲食店営業,一般,6/27/18,7/1/18,6/30/23
珈琲秋桜,秋田市御所野下堤一丁目１７－５,018-826-1514,石丸茂美　,継続,751,飲食店営業,一般,6/28/18,7/1/18,6/30/23
メフォス　５１８５３　号店,秋田市御所野堤台二丁目２－１９,018-829-0123,株式会社　メフォス,継続,755,飲食店営業,一般,6/28/18,7/1/18,6/30/24
お菓子の工房　ワールボンボン,秋田市御所野元町一丁目１－１６,018-838-0330,有限会社　ワールボンボン,継続,759,菓子製造業,一般,6/28/18,7/1/18,6/30/24
お菓子の工房　ワールボンボン,秋田市御所野元町一丁目１－１６,018-838-0330,有限会社　ワールボンボン,継続,760,喫茶店営業,一般,6/28/18,7/1/18,6/30/24
欧風酒場　Ｎａｖｅｔ,秋田市御所野地蔵田二丁目２－１,018-839-3305,鍋沢千亜樹,継続,754,飲食店営業,一般,6/28/18,7/1/18,6/30/24
秋田中販食堂,秋田市御所野湯本一丁目１－１,018-839-6311,秋田県中古自動車販売商工組合,継続,752,飲食店営業,一般,6/28/18,7/1/18,6/30/24
ローソン秋田御野場新町店,秋田市御野場新町二丁目８－２３,018-839-8801,株式会社　キートス,新規,764,飲食店営業,その他,6/28/18,6/28/18,6/30/24
上之三つや,秋田市中通五丁目５－３５,,三浦有紀子,新規,763,飲食店営業,一般,6/28/18,6/28/18,11/30/23
田園ハム,秋田市内,,最上均,新規,767,飲食店営業,露天営業,6/29/18,6/29/18,6/28/23
イオン秋田中央店　カフェ・デポテサンテ,秋田市楢山川口境５－１１,018-837-3000,イオン東北株式会社,新規,784,飲食店営業,その他,7/2/18,7/2/18,7/31/23
イオン秋田中央店　水産焼魚,秋田市楢山川口境５－１１,018-837-3000,イオン東北株式会社,新規,783,飲食店営業,その他,7/2/18,7/2/18,7/31/24
イオン秋田中央店水産すし,秋田市楢山川口境５－１１,018-837-3000,イオン東北株式会社,新規,782,飲食店営業,その他,7/2/18,7/2/18,7/31/24
油そば専門店　歌志軒　秋田駅前店,秋田市中通四丁目１６－２０,018-874-7106,安田翔,新規,800,飲食店営業,一般,7/5/18,7/5/18,11/30/23
お茶漬け処　七,秋田市大町五丁目２－４３,,田崎哲也,新規,816,飲食店営業,一般,7/6/18,7/6/18,10/31/23
魚一家（ウオッカ）,秋田市中通四丁目１４－２１,,安田洋平,新規,818,飲食店営業,一般,7/6/18,7/6/18,11/30/23
京都互福庵　秋田店,秋田市内一円,,森田康裕,新規,832,喫茶店営業,露天営業,7/10/18,7/10/18,7/9/23
京都互福庵　秋田店,秋田市内一円,,森田康裕,新規,833,喫茶店営業,露天営業,7/10/18,7/10/18,7/9/23
ＩＫＩＮＡ　ＨＯＴＥＬ,秋田市川元むつみ町１－１１,018-853-7660,ワイエステート株式会社,新規,895,飲食店営業,一般,7/17/18,7/17/18,4/30/24
居酒屋しんちゃん,秋田市土崎港中央三丁目３－３,,加藤伸,新規,894,飲食店営業,仕出し・弁当,7/17/18,7/17/18,5/31/24
ＦＲＵＴＴＯフルット,秋田市中通四丁目１７－３０,018-838-5815,五井慎太郎,新規,976,飲食店営業,一般,7/19/18,7/19/18,11/30/23
株式会社　秋田ごはん工場,秋田市外旭川字八幡田１３４－５,018-868-0088,株式会社　秋田ごはん工場,継続,996,飲食店営業,仕出し・弁当,7/19/18,8/1/18,7/31/24
株式会社　秋田ごはん工場,秋田市外旭川字八幡田１３４－５,018-868-0088,株式会社　秋田ごはん工場,継続,997,そうざい製造業,一般,7/19/18,8/1/18,7/31/24
あぐりこまち株式会社,秋田市外旭川字梶ノ目９８－１,018-868-2285,あぐりこまち株式会社,継続,1000,飲食店営業,仕出し・弁当,7/19/18,8/1/18,7/31/24
あぐりこまち株式会社,秋田市外旭川字梶ノ目９８－１,018-868-2285,あぐりこまち株式会社,継続,1001,そうざい製造業,一般,7/19/18,8/1/18,7/31/24
蕎麦ギャラリーＳＡＹ,秋田市内,,杉山誠悦,新規,945,喫茶店営業,露天営業,7/19/18,7/19/18,7/18/23
笑たこ　イオンモール秋田店,秋田市御所野地蔵田一丁目１－１,,株式会社　笑たこ,新規,977,飲食店営業,一般,7/19/18,7/19/18,6/30/25
ラーメン山岡家　秋田寺内店,秋田市寺内高野１２－１７,018-827-6505,株式会社　丸千代山岡家,新規,1026,飲食店営業,一般,7/23/18,7/23/18,8/31/23
Ｋａｆｕｕ。,秋田市寺内焼山３－３５,,保立和恵,新規,1025,菓子製造業,一般,7/23/18,7/23/18,8/31/23
焼きとん　大国,秋田市山王一丁目１１－１９,018-864-1178,株式会社　ことり,新規,1046,飲食店営業,一般,7/25/18,7/25/18,4/30/24
渡部食肉店,秋田市外旭川字三後田２５－５,018-868-0258,渡部金也,継続,1043,食肉販売業,一般,7/25/18,8/1/18,7/31/23
渡部食肉店,秋田市外旭川字三後田２５－５,018-868-0258,渡部金也,継続,1044,食肉処理業,一般,7/25/18,8/1/18,7/31/23
サトちゃんコロッケ本舗,秋田市内,,髙橋哲,新規,1061,飲食店営業,露天営業,7/25/18,7/25/18,7/24/23
あさひや,秋田市添川字地ノ内１７５,,山本東賢,継続,1045,飲食店営業,一般,7/25/18,8/1/18,7/31/24
バンカレラ外旭川店,秋田市外旭川八柳三丁目１４－４４,0120-216-414,株式会社　マルハンダイニング,新規,1088,飲食店営業,その他,7/26/18,7/26/18,7/31/23
Ｂｒｅａｄ　Ｍａｎ,秋田市外旭川字三後田２４０,018-807-3364,佐々木康志,継続,1100,飲食店営業,その他,7/26/18,8/1/18,7/31/24
Ｂｒｅａｄ　Ｍａｎ,秋田市外旭川字三後田２４０,018-807-3364,佐々木康志,継続,1099,菓子製造業,一般,7/26/18,8/1/18,7/31/24
翁屋　開運堂,秋田市楢山登町３－１,018-836-2220,藤井潤,継続,1098,菓子製造業,一般,7/26/18,8/1/18,7/31/24
（株）秋田ブランディング,秋田市外旭川字堂の前５６－３,018-863-8813,株式会社　秋田ブランディング,継続,1094,そうざい製造業,一般,7/26/18,8/1/18,7/31/24
株式会社 金森水産,秋田市外旭川字三千刈１７２－１,018-866-3201,株式会社 金森水産,継続,1095,魚介類販売業,一般,7/26/18,8/1/18,7/31/24
グランマート外旭川店,秋田市外旭川字小谷地２５,018-868-2323,株式会社　タカヤナギ,継続,1091,食肉販売業,一般,7/26/18,8/1/18,7/31/24
グランマート外旭川店,秋田市外旭川字小谷地２５,018-868-2323,株式会社　タカヤナギ,継続,1090,魚介類販売業,一般,7/26/18,8/1/18,7/31/24
グランマート外旭川店,秋田市外旭川字小谷地２５,018-868-2323,株式会社　タカヤナギ,継続,1089,飲食店営業,仕出し・弁当,7/26/18,8/1/18,7/31/24
グランマート外旭川店,秋田市外旭川字小谷地２５,018-868-2323,株式会社　タカヤナギ,継続,1097,菓子製造業,一般,7/26/18,8/1/18,7/31/24
エームＳＪ　第２託児所,秋田市新屋鳥木町１－１７３,,エームサービスジャパン株式会社,新規,1086,飲食店営業,一般,7/26/18,7/26/18,6/30/24
やきとりの扇屋　秋田新国道店,秋田市八橋鯲沼町４６－６,018-853-7708,株式会社　扇屋東日本,新規,1101,飲食店営業,一般,7/27/18,7/27/18,8/31/23
ディッパーダンイオン秋田中央店,秋田市楢山川口境５－１１,018-834-1117,有限会社　フォーチュン,継続,1127,飲食店営業,一般,7/30/18,8/1/18,7/31/24
ココス　イオン秋田中央店,秋田市楢山川口境５－１１,018-884-4662,株式会社　ココスジャパン,継続,1128,飲食店営業,一般,7/30/18,8/1/18,7/31/24
ミートパッカーわかば,秋田市外旭川八柳三丁目１６－１１,018-868-2929,有限会社　石行商店,継続,1176,食肉処理業,一般,7/31/18,8/1/18,7/31/24
ＴＷＯ－Ｂ　ＬＯＯＺ,秋田市大町三丁目２－２２,018-866-6914,二部博之,新規,1212,飲食店営業,一般,8/2/18,8/2/18,10/31/23
ｃｏｃｏａ,秋田市大町四丁目２－２７,,斉藤崇,新規,1213,飲食店営業,その他,8/2/18,8/2/18,10/31/23
國酒と料理　墨流し,秋田市大町五丁目１－１９,,山下義貴,新規,1211,飲食店営業,一般,8/2/18,8/2/18,10/31/23
手打そば　２３０（ニイサンマル）,秋田市飯島新町二丁目５－２,,有限会社　葵,新規,1214,飲食店営業,一般,8/2/18,8/2/18,5/31/24
手打そば　２３０（ニイサンマル）,秋田市飯島新町二丁目５－２,,有限会社　葵,新規,1215,めん類製造業,一般,8/2/18,8/2/18,5/31/24
手打そば　２３０（ニイサンマル）,秋田市飯島新町二丁目５－２,,有限会社　葵,新規,1216,魚介類販売業,一般,8/2/18,8/2/18,5/31/24
日本料理　御山,秋田市広面字谷地田５７－１,018-811-0055,佐々木秀輝,新規,1237,そうざい製造業,一般,8/7/18,8/7/18,9/30/23
Ｐｕｂｌｉｃ　Ｂａｒ　Ｌｏａ,秋田市大町五丁目２－１４,018-827-5472,佐藤祐樹,新規,1236,飲食店営業,一般,8/7/18,8/7/18,10/31/23
ダイニングバー　ポップコーン,秋田市中通二丁目７－２,018-893-4044,福井伸,新規,1243,飲食店営業,一般,8/8/18,8/8/18,11/30/23
中国料理　王道楼,秋田市茨島六丁目７－２８,018-823-3577,王殿文,新規,1259,飲食店営業,一般,8/10/18,8/10/18,4/30/24
佐々木商店,秋田市内,,佐々木真司,新規,1270,喫茶店営業,露天営業,8/10/18,8/10/18,8/9/23
佐々木商店,秋田市内,,佐々木真司,新規,1271,喫茶店営業,露天営業,8/10/18,8/10/18,8/9/23
からあげのなかむら,秋田市内,,ＭＯＮＯＣＲＥＡＴＥ合同会社,新規,1273,飲食店営業,移動,8/13/18,8/13/18,5/31/24
ｃｏｃｏｒｅ　ここあ,秋田市山王一丁目８－１５,,安東里美,新規,1290,飲食店営業,一般,8/15/18,8/15/18,4/30/24
カレーコミュニケーション,秋田市内,,近藤和真,新規,1288,飲食店営業,移動,8/15/18,8/15/18,5/31/24
おみやげ処　無限堂,秋田市雄和椿川字山籠４９,018-886-8090,株式会社　無限堂,継続,1295,飲食店営業,一般,8/16/18,9/1/18,8/31/24
銀光堂,秋田市旭北寺町１－３９,018-823-2580,五十嵐牧子,継続,1302,菓子製造業,一般,8/17/18,9/1/18,8/31/23
旭南高砂堂,秋田市旭南一丁目１８－２５,018-823-4021,株式会社　塚本商店,継続,1301,菓子製造業,一般,8/17/18,9/1/18,8/31/24
秋田銀行独身寮食堂,秋田市旭南三丁目５－３,018-862-5902,株式会社　東北ビルカンリ・システムズ,継続,1300,飲食店営業,一般,8/17/18,9/1/18,8/31/24
